minutes,gross,budget,year,rating,score
110,3000000.00,100000.00,1920,4.7,4.8
153,26435.00,6000000.00,1927,8.3,8.3
100,2808000.00,379000.00,1929,5.7,6.3
89,2300000.00,439000.00,1933,7.4,7.7
101,3000000.00,609000.00,1935,7.8,7.8
87,163245.00,1500000.00,1936,8.5,8.6
83,184925485.00,2000000.00,1937,7.6,7.7
238,198655278.00,3977000.00,1939,8.1,8.2
102,22202612.00,2800000.00,1939,8.0,8.1
125,76400000.00,2280000.00,1940,7.8,7.8
88,84300000.00,2600000.00,1940,7.4,7.5
118,47095453.00,48000000.00,2001,6.4,6.4
170,23650000.00,2100000.00,1946,8.0,8.1
129,20400000.00,8000000.00,1946,6.8,6.9
87,7927.00,2300000.00,1947,7.6,7.7
102,2956000.00,3700000.00,1948,7.0,7.1
107,8000000.00,3768785.00,1950,6.9,7.0
152,36000000.00,4000000.00,1952,6.6,6.7
80,5000000.00,210000.00,1953,6.7,6.7
135,36000000.00,5000000.00,1953,6.7,6.8
108,9600000.00,910000.00,1954,8.1,8.2
207,269061.00,2000000.00,1954,8.6,8.7
161,27200000.00,3000000.00,1957,8.1,8.2
121,25000000.00,2883848.00,1959,8.2,8.3
109,32000000.00,806947.00,1960,8.5,8.5
153,43650000.00,6000000.00,1961,7.5,7.6
110,16067035.00,1100000.00,1962,7.3,7.3
228,6000000.00,15000000.00,1962,8.3,8.4
192,57750000.00,31115000.00,1963,7.0,7.0
115,24800000.00,2000000.00,1963,7.4,7.5
205,46300000.00,9400000.00,1963,7.5,7.6
110,51100000.00,3000000.00,1964,7.7,7.8
87,515005.00,560000.00,1964,7.6,7.7
139,102300000.00,6000000.00,1964,7.8,7.8
170,72000000.00,17000000.00,1964,7.8,7.9
95,12438.00,160000.00,1964,8.0,8.1
99,3500000.00,200000.00,1964,8.0,8.0
197,111722000.00,11000000.00,1965,8.0,8.0
260,8000000.00,20000000.00,1965,6.6,6.6
123,14873.00,3800000.00,1965,6.7,6.8
172,163214286.00,8200000.00,1965,8.0,8.0
130,63600000.00,9000000.00,1965,7.0,7.0
161,6100000.00,1200000.00,1966,8.8,8.9
117,43100000.00,9500000.00,1967,6.9,6.9
149,56715371.00,12000000.00,1968,8.3,8.3
153,16800000.00,10000000.00,1968,7.4,7.5
110,102308900.00,6000000.00,1969,8.0,8.1
142,22800000.00,7000000.00,1969,6.7,6.8
123,26893.00,1600000.00,1969,7.1,7.2
109,9000000.00,900000.00,1970,6.2,6.2
136,5000000.00,25000000.00,1970,6.1,6.2
144,14500000.00,25000000.00,1970,7.5,7.5
184,13300000.00,600000.00,1970,8.2,8.1
120,43800000.00,7200000.00,1971,6.6,6.7
181,50000000.00,9000000.00,1971,8.0,8.0
65,8231.00,27000.00,1971,6.7,6.7
97,15180000.00,500000.00,1971,5.5,5.5
175,134821952.00,6000000.00,1972,9.2,9.2
93,180483.00,10000.00,1972,6.1,6.1
110,115000000.00,777000.00,1973,7.4,7.5
122,204565000.00,8000000.00,1973,8.0,8.0
121,35400000.00,7000000.00,1973,6.8,6.8
112,32645.00,500000.00,1973,7.3,7.4
129,159600000.00,5500000.00,1973,8.3,8.3
86,39552600.00,500000.00,1974,6.2,6.1
93,119500000.00,2600000.00,1974,7.7,7.8
202,57300000.00,13000000.00,1974,9.0,9.0
125,21000000.00,13000000.00,1974,6.8,6.8
91,1229197.00,229575.00,1975,8.2,8.3
83,30859000.00,83532.00,1974,7.5,7.5
83,30859000.00,83532.00,1974,7.5,7.5
106,86300000.00,2800000.00,1974,8.0,8.0
124,260000000.00,8000000.00,1975,8.0,8.0
133,112000000.00,4400000.00,1975,8.7,8.7
119,25000000.00,9000000.00,1976,6.8,6.8
120,117235247.00,960000.00,1976,8.1,8.1
93,39200000.00,4000000.00,1977,8.0,8.1
175,50800000.00,26000000.00,1977,7.4,7.4
138,128300000.00,19400870.00,1977,7.6,7.7
107,1000000.00,9000000.00,1977,6.4,6.3
97,17000000.00,500000.00,1977,5.8,5.9
125,46800000.00,14000000.00,1977,7.1,7.1
121,460935665.00,11000000.00,1977,8.6,8.7
127,1000000.00,14000000.00,1978,6.2,6.5
110,181360000.00,6000000.00,1978,7.2,7.2
91,47000000.00,300000.00,1978,7.8,7.9
91,47000000.00,300000.00,1978,7.8,7.9
116,102922376.00,20000000.00,1978,5.8,5.7
109,141600000.00,3000000.00,1978,7.5,7.6
143,134218018.00,55000000.00,1978,7.3,7.3
134,13000000.00,24000000.00,1978,5.4,5.2
117,78900000.00,11000000.00,1979,8.4,8.5
147,78800000.00,31500000.00,1979,8.4,8.5
112,36500000.00,8000000.00,1979,7.6,7.6
126,62700000.00,34000000.00,1979,6.3,6.3
125,29200000.00,8500000.00,1979,7.0,6.9
132,82300000.00,35000000.00,1979,6.4,6.4
88,83400000.00,3500000.00,1980,7.7,7.8
133,54200000.00,27000000.00,1980,7.9,7.9
